"Lanot Default Settings","Lanot Default Settings"
"Lanot Extensions","Lanot Extensions"
"General","General"
"Lanot Account","Lanot Account"
"Account Email","Account Email"
"Account Email is requried for getting upgrades and special offers","Account Email is requried for getting upgrades and special offers"
"Lanot Modules","Lanot Modules"

"Items","Items"
"Item does not exist.","Item does not exist."
"Unable to find an item. #%s","Unable to find an item. #%s"
"Edit Item","Edit Item"
"New Item","New Item"
"The item has been saved.","The item has been saved."
"The item has been deleted.","The item has been deleted."
"An error occurred while edit the item.","An error occurred while edit the item."
"An error occurred while edit the items. %s","An error occurred while edit the items. %s"
"The items %s has been enabled.","The items %s has been enabled."
"The items %s has been disabled.","The items %s has been disabled."
"The items %s has been deleted.","The items %s has been deleted."
